root - INFO - GA Tuner 3MM - 2023-07-20 02:52:24.442146
autotvm - DEBUG - waiting for device...
autotvm - DEBUG - device available
autotvm - INFO - Get devices for measurement successfully!
autotvm - DEBUG - No: 1	GFLOPS: 1.55/1.55	result: MeasureResult(costs=(30.941583985,), error_no=MeasureErrorNo.NO_ERROR, all_cost=62.463369607925415, timestamp=1689839612.4642997)	[('tile_y', 4), ('tile_x', 16), ('tile_y1', 1200), ('tile_x1', 8), ('tile_y2', 60), ('tile_x2', 400)],None,68886530
autotvm - DEBUG - No: 2	GFLOPS: 1.51/1.55	result: MeasureResult(costs=(31.79973522,), error_no=MeasureErrorNo.NO_ERROR, all_cost=64.36380791664124, timestamp=1689839676.6598923)	[('tile_y', 8), ('tile_x', 80), ('tile_y1', 3), ('tile_x1', 8), ('tile_y2', 15), ('tile_x2', 200)],None,63487492
autotvm - DEBUG - No: 3	GFLOPS: 1.37/1.55	result: MeasureResult(costs=(35.15653297,), error_no=MeasureErrorNo.NO_ERROR, all_cost=71.4205060005188, timestamp=1689839747.8673048)	[('tile_y', 10), ('tile_x', 1), ('tile_y1', 12), ('tile_x1', 8), ('tile_y2', 2), ('tile_x2', 25)],None,33352709
autotvm - DEBUG - No: 4	GFLOPS: 1.54/1.55	result: MeasureResult(costs=(31.218033546999997,), error_no=MeasureErrorNo.NO_ERROR, all_cost=63.234065532684326, timestamp=1689839810.934754)	[('tile_y', 10), ('tile_x', 40), ('tile_y1', 10), ('tile_x1', 100), ('tile_y2', 30), ('tile_x2', 800)],None,72526341
autotvm - DEBUG - No: 5	GFLOPS: 1.40/1.55	result: MeasureResult(costs=(34.388614436999994,), error_no=MeasureErrorNo.NO_ERROR, all_cost=69.63073086738586, timestamp=1689839880.2954824)	[('tile_y', 4), ('tile_x', 2), ('tile_y1', 3), ('tile_x1', 2), ('tile_y2', 48), ('tile_x2', 20)],None,31251474
autotvm - DEBUG - No: 6	GFLOPS: 1.47/1.55	result: MeasureResult(costs=(32.685232408,), error_no=MeasureErrorNo.NO_ERROR, all_cost=66.01002883911133, timestamp=1689839946.0847104)	[('tile_y', 5), ('tile_x', 100), ('tile_y1', 5), ('tile_x1', 10), ('tile_y2', 75), ('tile_x2', 50)],None,48290323
autotvm - DEBUG - No: 7	GFLOPS: 1.49/1.55	result: MeasureResult(costs=(32.198391796,), error_no=MeasureErrorNo.NO_ERROR, all_cost=65.17415595054626, timestamp=1689840011.0604858)	[('tile_y', 250), ('tile_x', 2), ('tile_y1', 8), ('tile_x1', 5), ('tile_y2', 75), ('tile_x2', 800)],None,73156637
autotvm - DEBUG - No: 8	GFLOPS: 1.48/1.55	result: MeasureResult(costs=(32.488431059999996,), error_no=MeasureErrorNo.NO_ERROR, all_cost=65.80467414855957, timestamp=1689840076.7971761)	[('tile_y', 250), ('tile_x', 10), ('tile_y1', 600), ('tile_x1', 1000), ('tile_y2', 80), ('tile_x2', 160)],None,60963357
autotvm - DEBUG - No: 9	GFLOPS: 1.48/1.55	result: MeasureResult(costs=(32.382489903999996,), error_no=MeasureErrorNo.NO_ERROR, all_cost=65.75615000724792, timestamp=1689840142.413928)	[('tile_y', 4), ('tile_x', 400), ('tile_y1', 1200), ('tile_x1', 500), ('tile_y2', 75), ('tile_x2', 32)],None,40080930
autotvm - DEBUG - No: 10	GFLOPS: 1.46/1.55	result: MeasureResult(costs=(32.894869254,), error_no=MeasureErrorNo.NO_ERROR, all_cost=66.46577644348145, timestamp=1689840208.7706435)	[('tile_y', 10), ('tile_x', 400), ('tile_y1', 2), ('tile_x1', 1), ('tile_y2', 25), ('tile_x2', 100)],None,55711269
autotvm - DEBUG - No: 11	GFLOPS: 1.50/1.55	result: MeasureResult(costs=(32.050910099,), error_no=MeasureErrorNo.NO_ERROR, all_cost=64.79739594459534, timestamp=1689840273.4141443)	[('tile_y', 20), ('tile_x', 40), ('tile_y1', 8), ('tile_x1', 250), ('tile_y2', 80), ('tile_x2', 50)],None,48498214
